time,alpha_a_fr,alpha_b_fr,alpha_c_fr,alpha_a_fl,alpha_b_fl,alpha_c_fl
1741027513.3101363,-0.5430508852005005,0.013220680877566338,0.013220680877566338,0.3708477020263672,-0.1854238510131836,-0.1854238510131836
1741027513.3206065,-0.5511692762374878,0.046064168214797974,0.046064168214797974,0.3981556296348572,-0.1990778148174286,-0.1990778148174286
1741027513.33141,-0.5565338730812073,0.07757987827062607,0.07757987827062607,0.42274248600006104,-0.21137124300003052,-0.21137124300003052
1741027513.3429558,-0.5590240359306335,0.11015807837247849,0.11015807837247849,0.4461214244365692,-0.2230607122182846,-0.2230607122182846
1741027513.3537815,-0.5580296516418457,0.13907915353775024,0.13907915353775024,0.46473920345306396,-0.23236960172653198,-0.23236960172653198
1741027513.3651063,-0.5534458160400391,0.1672774851322174,0.1672774851322174,0.48048222064971924,-0.24024111032485962,-0.24024111032485962
1741027513.3770494,-0.5442781448364258,0.19566987454891205,0.19566987454891205,0.4932986795902252,-0.2466493397951126,-0.2466493397951126
1741027513.3880477,-0.5322103500366211,0.21927647292613983,0.21927647292613983,0.5009912252426147,-0.2504956126213074,-0.2504956126213074
1741027513.3991413,-0.5162400603294373,0.24130089581012726,0.24130089581012726,0.5050272941589355,-0.2525136470794678,-0.2525136470794678
1741027513.4101877,-0.5052703022956848,0.2526351511478424,0.2526351511478424,0.49662819504737854,-0.26127728819847107,-0.26127728819847107
1741027513.422365,-0.5011220574378967,0.25056102871894836,0.25056102871894836,0.47034740447998047,-0.2813356816768646,-0.2813356816768646
1741027513.4338126,-0.49295181035995483,0.24647590517997742,0.24647590517997742,0.4412570595741272,-0.29817062616348267,-0.29817062616348267
1741027513.444664,-0.48162731528282166,0.24081365764141083,0.24081365764141083,0.410358190536499,-0.31208276748657227,-0.31208276748657227
1741027513.4557197,-0.46649855375289917,0.23324927687644958,0.23324927687644958,0.37526458501815796,-0.3244832456111908,-0.3244832456111908
1741027513.4674058,-0.44702664017677307,0.22351332008838654,0.22351332008838654,0.3350035548210144,-0.3355364203453064,-0.3355364203453064
1741027513.4800105,-0.4209410548210144,0.2104705274105072,0.2104705274105072,0.2856607437133789,-0.3457508087158203,-0.3457508087158203
1741027513.492057,-0.3928118944168091,0.19640594720840454,0.19640594720840454,0.23589001595973969,-0.35332784056663513,-0.35332784056663513
